experiment_id,experiment_name,run_id,profile,source_artifact,variant,baseline,condition,world_count,route_length,cue_count,corruption_rate,budget_ratio,metric,mean,std,sem,ci_low,ci_high,effect_size,comparison,panel,caveat,manuscript_claim_id
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_full_model,,Full model,,12,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_full_model,,Full model,,12,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_context_binding,,"No context
binding",,12,,,,composition_accuracy,0.046730324074074,0.0078899534023737,0.0017642472147013344,0.043272399533259384,0.05018824861488862,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_context_binding,,"No context
binding",,12,,,,route_table_accuracy,0.363671875,0.0034317242627415,0.0007673568731525343,0.362167855528621,0.36517589447137894,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_recurrence_at_eval,,"No recurrence
at eval",,12,,,,composition_accuracy,0.0401331018518518,0.0043235952946616,0.0009667852986061571,0.03823820266658373,0.04202800103711987,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_recurrence_at_eval,,"No recurrence
at eval",,12,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_structural_plasticity,,"No structural
plasticity",,12,,,,composition_accuracy,0.0316840277777777,0.004293321368637,0.0009600158429524766,0.029802396725590846,0.033565658829964554,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
Exp13.1,publication_hardening,exp13_1_full_20260506_214756,full,experiments/experiment13_1_publication_hardening/analysis/exp13_1_full_20260506_214756/exp13_1_ablation_metrics.csv,exp13_1_no_structural_plasticity,,"No structural
plasticity",,12,,,,route_table_accuracy,0.0286241319444444,0.0043800150053063,0.0009794011294333989,0.02670450573075494,0.030543758158133864,,,,Internal symbolic ablation; normal-approximate CI from aggregate std/count; lesion diagnostics are not used.,"C1,C2,C3,C4"
