phase,run_name,world_count,route_length,budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
capacity_pressure,exp13_full_context_separated_memory,4,12,0.25,0.2677083333333333,0.009461407356554685,5,0.28177083333333336,0.010318548310499458,5,0.01406250000000001,0.006536406457297463,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.29513413125000004,0.0,5,0.25,0.0,5,96.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,4,12,0.5,0.5125,0.0046584749531245325,5,0.5203125,0.009095963123215112,5,0.0078125,0.006378879538497871,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.57225538125,0.0,5,0.5,0.0,5,192.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,4,12,0.75,0.7541666666666667,0.002329237476562275,5,0.7598958333333333,0.0064843227072857975,5,0.00572916666666663,0.00789882858755371,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8361803812499998,0.0,5,0.75,0.0,5,288.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,4,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0911803812499998,0.0,5,1.0,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,4,12,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0911803812499998,0.0,5,1.0,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,1,0.25,0.2739583333333333,0.009095963123215095,5,0.27734375,0.0037961926398732268,5,0.003385416666666674,0.006549362677062138,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.33786414696640493,0.0,5,0.25,0.0,5,192.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,1,0.5,0.5151041666666667,0.00745719847045641,5,0.51796875,0.0036131346160186636,5,0.0028645833333333258,0.008204158334387177,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.639327665357714,0.0,5,0.5,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,1,0.75,0.7578125,0.005823093691405719,5,0.7611979166666667,0.0023653518391386387,5,0.003385416666666674,0.004178855868719093,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9149771922436469,0.0,5,0.75,0.0,5,576.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,1,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,1,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,4,0.25,0.27239583333333334,0.005400114935762423,5,0.27734375,0.0037961926398732268,5,0.004947916666666663,0.00547804269999026,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.33786414696640493,0.0,5,0.25,0.0,5,192.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,4,0.5,0.5171875,0.005076455387921368,5,0.51796875,0.0036131346160186636,5,0.0007812499999999778,0.006418623720763663,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.639327665357714,0.0,5,0.5,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,4,0.75,0.759375,0.003949414293776823,5,0.7611979166666667,0.0023653518391386387,5,0.001822916666666674,0.00586660433649414,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9149771922436469,0.0,5,0.75,0.0,5,576.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,4,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,4,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,8,0.25,0.27239583333333334,0.007036070878180371,5,0.27734375,0.0037961926398732268,5,0.004947916666666663,0.0063388861690823325,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.33786414696640493,0.0,5,0.25,0.0,5,192.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,8,0.5,0.5161458333333333,0.0042790824805091126,5,0.51796875,0.0036131346160186636,5,0.001822916666666674,0.0069267896240991726,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.639327665357714,0.0,5,0.5,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,8,0.75,0.7557291666666666,0.0033954179193763667,5,0.7611979166666667,0.0023653518391386387,5,0.005468750000000022,0.005478042699990266,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9149771922436469,0.0,5,0.75,0.0,5,576.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,8,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,8,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,12,0.25,0.26875,0.003395417919376383,5,0.27734375,0.0037961926398732268,5,0.008593750000000011,0.006926789624099141,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.33786414696640493,0.0,5,0.25,0.0,5,192.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,12,0.5,0.5125,0.006217362701204809,5,0.51796875,0.0036131346160186636,5,0.005468749999999978,0.0073310876355517154,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.639327665357714,0.0,5,0.5,0.0,5,384.0,0.0,5,,,0,,,0
