phase,run_name,world_count,route_length,local_budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
local_capacity_pressure,exp13_no_consolidation,32,12,0.25,0.04166666666666667,0.0064614040498955725,5,0.2720703125,0.0023854259063230947,5,0.2304036458333333,0.005235727113403927,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.2482747395833333,0.00633853789968246,5,0.2482747395833333,0.00633853789968246,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,32,12,0.5,0.05963541666666668,0.007199826198411068,5,0.51484375,0.001988077016224262,5,0.4552083333333333,0.007163677449742544,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.48986545138888893,0.0045452301428105,5,0.48986545138888893,0.0045452301428105,5,1536.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,32,12,0.75,0.137890625,0.022667098097341753,5,0.7574869791666667,0.000949048159968317,5,0.6195963541666667,0.0220016928127478,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.74423828125,0.009203074558768039,5,0.74423828125,0.009203074558768039,5,2304.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,32,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,4,12,0.25,0.03333333333333334,0.01789121253887257,5,0.2786458333333333,0.00802658073303254,5,0.2453125,0.01534028799481576,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.27678221421875,0.027468733101109893,5,0.253125,0.025140663304473284,5,96.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,4,12,0.5,0.034375,0.014072141756360724,5,0.5192708333333333,0.004357604304864949,5,0.4848958333333333,0.013581671677505494,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.5418093707031251,0.037138026470325276,5,0.4947916666666667,0.03395417919376381,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,4,12,0.75,0.04166666666666667,0.008235098073355155,5,0.7598958333333334,0.004279082480509106,5,0.7182291666666667,0.009638935168396739,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8247458226562501,0.037428154545866454,5,0.7552083333333334,0.03435131759966906,5,288.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,4,12,1.0,0.046875,0.015184770559492971,5,1.0,0.0,5,0.953125,0.015184770559492994,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0911803812499998,0.0,5,1.0,0.0,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,8,12,0.25,0.034375,0.009280484208961177,5,0.27734375,0.005447005381081221,5,0.24296875,0.011373681146834614,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.3093451658389484,0.021754527259219045,5,0.2640625,0.017910155066718135,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,8,12,0.5,0.036458333333333336,0.006107312187270089,5,0.5197916666666667,0.004259225842134403,5,0.4833333333333333,0.008100172403643616,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.5942006179114914,0.027555531182234416,5,0.5057291666666666,0.02280691046438675,5,384.0,0.0,5,,,0,,,0
