phase,run_name,world_count,route_length,generalization_condition,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count
heldout_generalization,exp12_full_context_separated_memory,32,1,seen_one_step,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.1320644988413109,0.0018128107579511795,960,0.4239138476314049,0.05553003466249032,960,0.0637515187885415,0.002691407756279754,960
heldout_generalization,exp12_full_context_separated_memory,32,2,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.1320644988413109,0.0018128107579511795,960,0.4239138476314049,0.05553003466249032,960,0.0637515187885415,0.002691407756279754,960
heldout_generalization,exp12_full_context_separated_memory,32,4,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.1320644988413109,0.0018128107579511795,960,0.4239138476314049,0.05553003466249032,960,0.0637515187885415,0.002691407756279754,960
heldout_generalization,exp12_full_context_separated_memory,32,8,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.1320644988413109,0.0018128107579511795,960,0.4239138476314049,0.05553003466249032,960,0.0637515187885415,0.002691407756279754,960
heldout_generalization,exp12_full_context_separated_memory,32,12,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.1320644988413109,0.0018128107579511795,960,0.4239138476314049,0.05553003466249032,960,0.0637515187885415,0.002691407756279754,960
heldout_generalization,exp12_no_consolidation,2,1,seen_one_step,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,1.0363239936471242,0.00182636531669517,60,1.0221181684674607,0.017691959406586712,60,0.2656395986563414,0.004071006277236334,60
heldout_generalization,exp12_no_consolidation,2,2,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,1.0363239936471242,0.00182636531669517,60,1.0221181684674607,0.017691959406586712,60,0.2656395986563414,0.004071006277236334,60
heldout_generalization,exp12_no_consolidation,2,4,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,1.0363239936471242,0.00182636531669517,60,1.0221181684674607,0.017691959406586712,60,0.2656395986563414,0.004071006277236334,60
heldout_generalization,exp12_no_consolidation,2,8,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,1.0363239936471242,0.00182636531669517,60,1.0221181684674607,0.017691959406586712,60,0.2656395986563414,0.004071006277236334,60
heldout_generalization,exp12_no_consolidation,2,12,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,1.0363239936471242,0.00182636531669517,60,1.0221181684674607,0.017691959406586712,60,0.2656395986563414,0.004071006277236334,60
heldout_generalization,exp12_no_consolidation,4,1,seen_one_step,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,1.0356718815685082,0.0018097601779348083,120,0.9540423938970437,0.02358147951149128,120,0.18873081413018636,0.004510082428351424,120
heldout_generalization,exp12_no_consolidation,4,2,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,1.0356718815685082,0.0018097601779348083,120,0.9540423938970437,0.02358147951149128,120,0.18873081413018636,0.004510082428351424,120
heldout_generalization,exp12_no_consolidation,4,4,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,1.0356718815685082,0.0018097601779348083,120,0.9540423938970437,0.02358147951149128,120,0.18873081413018636,0.004510082428351424,120
heldout_generalization,exp12_no_consolidation,4,8,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,1.0356718815685082,0.0018097601779348083,120,0.9540423938970437,0.02358147951149128,120,0.18873081413018636,0.004510082428351424,120
heldout_generalization,exp12_no_consolidation,4,12,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,1.0356718815685082,0.0018097601779348083,120,0.9540423938970437,0.02358147951149128,120,0.18873081413018636,0.004510082428351424,120
heldout_generalization,exp12_no_consolidation,8,1,seen_one_step,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,1.0345838191360626,0.001795295851347881,240,0.8373239911373666,0.04093585211192715,240,0.12959150563722144,0.005423908056071648,240
heldout_generalization,exp12_no_consolidation,8,2,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,1.0345838191360626,0.001795295851347881,240,0.8373239911373666,0.04093585211192715,240,0.12959150563722144,0.005423908056071648,240
heldout_generalization,exp12_no_consolidation,8,4,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,1.0345838191360626,0.001795295851347881,240,0.8373239911373666,0.04093585211192715,240,0.12959150563722144,0.005423908056071648,240
heldout_generalization,exp12_no_consolidation,8,8,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,1.0345838191360626,0.001795295851347881,240,0.8373239911373666,0.04093585211192715,240,0.12959150563722144,0.005423908056071648,240
heldout_generalization,exp12_no_consolidation,8,12,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,1.0345838191360626,0.001795295851347881,240,0.8373239911373666,0.04093585211192715,240,0.12959150563722144,0.005423908056071648,240
heldout_generalization,exp12_no_consolidation,16,1,seen_one_step,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,1.0319781223252062,0.0018109888214085763,480,0.6475411181256499,0.04933327553647403,480,0.08896786476545655,0.004080695737856805,480
heldout_generalization,exp12_no_consolidation,16,2,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,1.0319781223252062,0.0018109888214085763,480,0.6475411181256499,0.04933327553647403,480,0.08896786476545655,0.004080695737856805,480
heldout_generalization,exp12_no_consolidation,16,4,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,1.0319781223252062,0.0018109888214085763,480,0.6475411181256499,0.04933327553647403,480,0.08896786476545655,0.004080695737856805,480
heldout_generalization,exp12_no_consolidation,16,8,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,1.0319781223252062,0.0018109888214085763,480,0.6475411181256499,0.04933327553647403,480,0.08896786476545655,0.004080695737856805,480
heldout_generalization,exp12_no_consolidation,16,12,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,1.0319781223252062,0.0018109888214085763,480,0.6475411181256499,0.04933327553647403,480,0.08896786476545655,0.004080695737856805,480
heldout_generalization,exp12_no_consolidation,32,1,seen_one_step,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.0269276809725314,0.0020120693801120066,960,0.38914020633362173,0.05093059160255807,960,0.059989182080038256,0.0023764752269037296,960
heldout_generalization,exp12_no_consolidation,32,2,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.0269276809725314,0.0020120693801120066,960,0.38914020633362173,0.05093059160255807,960,0.059989182080038256,0.0023764752269037296,960
heldout_generalization,exp12_no_consolidation,32,4,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.0269276809725314,0.0020120693801120066,960,0.38914020633362173,0.05093059160255807,960,0.059989182080038256,0.0023764752269037296,960
heldout_generalization,exp12_no_consolidation,32,8,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.0269276809725314,0.0020120693801120066,960,0.38914020633362173,0.05093059160255807,960,0.059989182080038256,0.0023764752269037296,960
heldout_generalization,exp12_no_consolidation,32,12,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,1.0269276809725314,0.0020120693801120066,960,0.38914020633362173,0.05093059160255807,960,0.059989182080038256,0.0023764752269037296,960
heldout_generalization,exp12_no_context_binding,2,1,seen_one_step,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,0.21772565958231946,0.016791231975285047,60,-0.29118456873033677,0.01042039907625357,60,0.5722516234456336,0.0025595472660153887,60
heldout_generalization,exp12_no_context_binding,2,2,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,0.21772565958231946,0.016791231975285047,60,-0.29118456873033677,0.01042039907625357,60,0.5722516234456336,0.0025595472660153887,60
heldout_generalization,exp12_no_context_binding,2,4,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,0.21772565958231946,0.016791231975285047,60,-0.29118456873033677,0.01042039907625357,60,0.5722516234456336,0.0025595472660153887,60
heldout_generalization,exp12_no_context_binding,2,8,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,0.21772565958231946,0.016791231975285047,60,-0.29118456873033677,0.01042039907625357,60,0.5722516234456336,0.0025595472660153887,60
heldout_generalization,exp12_no_context_binding,2,12,heldout_multistep,1.0,0.0,60,1.0,0.0,60,0.0,0.0,60,0.21772565958231946,0.016791231975285047,60,-0.29118456873033677,0.01042039907625357,60,0.5722516234456336,0.0025595472660153887,60
heldout_generalization,exp12_no_context_binding,4,1,seen_one_step,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.21507484471991967,0.011550132963602262,120,-0.2948933463309995,0.015659758557995347,120,0.3612844848850917,0.002491753947751893,120
heldout_generalization,exp12_no_context_binding,4,2,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.21507484471991967,0.011550132963602262,120,-0.2948933463309995,0.015659758557995347,120,0.3612844848850917,0.002491753947751893,120
heldout_generalization,exp12_no_context_binding,4,4,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.21507484471991967,0.011550132963602262,120,-0.2948933463309995,0.015659758557995347,120,0.3612844848850917,0.002491753947751893,120
heldout_generalization,exp12_no_context_binding,4,8,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.21507484471991967,0.011550132963602262,120,-0.2948933463309995,0.015659758557995347,120,0.3612844848850917,0.002491753947751893,120
heldout_generalization,exp12_no_context_binding,4,12,heldout_multistep,1.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.21507484471991967,0.011550132963602262,120,-0.2948933463309995,0.015659758557995347,120,0.3612844848850917,0.002491753947751893,120
heldout_generalization,exp12_no_context_binding,8,1,seen_one_step,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,0.2145780280359137,0.01116106790265755,240,-0.2987191160176719,0.016218241213164255,240,0.20794641323555577,0.0017657853831685919,240
heldout_generalization,exp12_no_context_binding,8,2,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,0.2145780280359137,0.01116106790265755,240,-0.2987191160176719,0.016218241213164255,240,0.20794641323555577,0.0017657853831685919,240
heldout_generalization,exp12_no_context_binding,8,4,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,0.2145780280359137,0.01116106790265755,240,-0.2987191160176719,0.016218241213164255,240,0.20794641323555577,0.0017657853831685919,240
heldout_generalization,exp12_no_context_binding,8,8,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,0.2145780280359137,0.01116106790265755,240,-0.2987191160176719,0.016218241213164255,240,0.20794641323555577,0.0017657853831685919,240
